ISIN	Currency	Total Buy Count	Total Sell Count	Total Buy Quantity	Total Sell Quantity	Weighted Average Buy Price	Weighted Average Sell Price	Max Buy Price	Min Sell Price
DE000SHA0159	EUR	68	0	10982	0	45.98433800764888	0	505000	0
DE0006204407	EUR	0	34	0	374	0	23930.48128342246	0	8950000
DE000A0LD2U1	EUR	34	0	1887	0	651.8282988871224	0	1230000	0
ES0105066007	EUR	0	34	0	170	0	32705.882352941175	0	5560000
DE000A1ML7J1	EUR	0	68	0	986	0	3896.551724137931	0	3842000
AT0000A18XM4	CHF	242	304	119792	199897	7.003806598103379	4.083102797940939	839000	816200
CH0023405456	CHF	349	287	32959	48789	124.48800024272582	82.94902539506856	4103000	4047000
GB00B61TVQ02	GBX	260	302	82100	71050	1013.3982947624847	1165.3764954257565	83200000	82800000
BMG396372051	NOK	108	48	81600	36000	134.25245098039215	302.0833333333333	10955000	10875000
FI4000074984	EUR	33	0	957	0	2089.864158829676	0	2000000	0
GB00BRS65X63	GBX	326	274	267566	237437	114.43905428940897	127.61279834229711	30620000	30300000
DE000TUAG000	GBX	186	164	489421	440694	31.629210843016544	34.218754963761704	15480000	15080000
CH0244767585	CHF	1427	1242	815206	631076	1.9761876139282586	2.5432752948931667	1611000	1605000
BE0974268972	EUR	0	34	0	4250	0	209.41176470588235	0	890000
GB0003385308	GBX	266	240	31981	29278	10740.752321691005	11664.048090716578	343500000	341500000
GB00B67G5X01	GBX	158	175	61502	54919	968.261194757894	1068.8468471749304	59550000	58700000
JE00BN574F90	GBX	220	131	41601	20242	5653.7102473498235	11436.616935085465	235200000	231500000
GB00B82YXW83	GBX	119	134	82230	64837	434.8777818314484	547.2184092416367	35760000	35480000
GB00B8SC6K54	GBX	150	122	619036	546729	26.18587610413611	29.612477113890062	16210000	16190000
GB00B19Z2J52	GBX	185	152	763182	627226	10.207263798150375	12.228447162585734	7790000	7670000
GB0009064097	GBX	218	184	180591	128903	227.8629610556451	313.8018510042435	41150000	40450000
GG00BBHX2H91	GBX	224	156	656107	858120	21.825708306724362	16.734256281172797	14320000	14360000
GB0008794710	GBX	175	147	20805	20377	10237.923576063446	10379.349266329686	213000000	211500000
GB0001048619	GBX	166	135	1327654	417543	6.703553787357248	20.93197586835368	8900000	8740000
GB0009887422	GBX	272	199	181393	184496	115.77072985175833	111.98074755008238	21000000	20660000
GB00B135BJ46	GBX	226	207	42768	42258	2478.488589599701	2413.744143120829	106000000	102000000
GB00BNLPYF73	GBX	169	183	313951	145010	77.08209242843628	165.85063099096615	24200000	24050000
GB0007958233	GBX	159	170	198913	207913	73.7005625575	69.93309701654057	14660000	14540000
GB0008025412	GBX	189	131	766789	680987	4.421033687233385	4.9046457568206145	3390000	3340000
GB00B60BD277	GBX	122	106	168426	178858	82.17258618028096	75.8143331581478	13840000	13560000
GB00BYZDVK82	GBX	232	194	53226	49730	2684.778115958366	2861.4518399356525	142900000	142300000
GB0007826091	GBX	186	148	82098	40270	1093.8147092499207	2229.9478519990066	89800000	89800000
GB00B1N7Z094	GBX	260	180	61040	50834	1908.5845347313236	2242.5935397568555	116500000	114000000
GB0007323586	GBX	225	167	10719	11958	39276.05187051031	34788.42615822044	421000000	416000000
GG00BBHXCL35	GBX	96	313	70633	138985	934.407429954837	482.0664100442494	66000000	67000000
GB00B1L5QH97	GBX	78	193	206234	342986	42.669976822444404	25.744491028788346	8800000	8830000
GB0007366395	GBX	180	188	33355	41437	7510.118423025034	6021.188792624948	250500000	249500000
GB0002148343	GBX	215	128	19408	19956	9738.252267106347	9330.527159751453	189000000	186200000
GB00B19Z1432	GBX	188	152	191098	163324	110.93784341018744	129.49719575812495	21200000	21150000
GB00BKRC5K31	GBX	156	171	83113	70730	507.7424710935714	590.9797822706065	42200000	41800000
GB00BJ62K685	GBX	188	206	142371	114059	249.20805501120313	304.5792090058654	35480000	34740000
GB0004220025	GBX	354	211	83737	50426	2663.0999438718845	4303.335580851148	223000000	217000000
GB00B02QND93	GBX	131	132	54825	74971	1092.5672594619243	792.306358458604	59900000	59400000
GB00B2NGPM57	GBX	166	291	80765	82227	716.2756144369467	693.8110353047052	57850000	57050000
GB00BD7XPJ64	GBX	93	143	277358	369471	32.05243764376726	23.601311063655874	8890000	8720000
GB0006215205	GBX	183	200	246596	223402	77.29241350224659	83.92941871603657	19060000	18750000
GG00B3KX4Q34	GBX	10	0	7130	0	1141.6549789621317	0	8140000	0
GB0006111909	GBX	201	167	67596	49923	1869.9331321379964	2511.868277146806	126400000	125400000
GB00BZ6STL67	GBX	144	193	414665	592702	21.414877069441598	14.948490135008823	8880000	8860000
GB0004657408	GBX	155	133	349845	355121	22.552844831282425	22.1614604599559	7890000	7870000
GB00B012BV22	GBX	113	116	43683	51612	1091.9579699196483	918.778578625126	47700000	47420000
GB00B1ZBKY84	GBX	220	198	221761	237652	98.39421719779402	90.55257266928113	21820000	21520000
GB0030517261	GBX	55	118	18441	22441	5861.938072772627	4768.058464417807	108100000	107000000
GB0006027295	GBX	237	151	122556	107219	248.86582460263062	281.66649567707213	30500000	30200000
GB00B1JQDM80	GBX	129	107	551534	676368	8.790029263835049	7.0316750644619495	4848000	4756000
GB00B1FP6H53	GBX	89	94	114098	98395	167.83817420112536	192.69271812592103	19150000	18960000
BMG5361W1047	GBX	167	145	78193	77889	615.6561329019222	612.1531923634916	48140000	47680000
GB00B4WFW713	GBX	319	212	476857	378559	51.62973386151404	63.9794589482749	24620000	24220000
GB0004866223	GBX	206	205	35663	48702	2187.140734094159	1583.097203400271	78000000	77100000
GB00B53P2009	GBX	186	122	237320	237128	50.691050058992076	49.71998245673223	12030000	11790000
GB00BCRX1J15	GBX	174	158	453647	294508	17.138876703692517	25.78877314028821	7775000	7595000
GB0003450359	GBX	185	178	82780	70606	973.6651365064025	1144.3786647027164	80600000	80800000
GB0001638955	GBX	119	145	42938	58587	1377.567655689599	986.5669858501033	59150000	57800000
